Job Title,Company Name,Location,Experience (Years),Min Experience,Max Experience,Experiencia Media,Rango Experiencia,Num Ubicaciones,Oferta Exterior,Nivel Titulo,exterior,num_ubic,nivel_medio,nivel_senior
ABROAD JOB REQUIREMENT - WINDOW ADMIN - CANADA  /  AUSTRALIA,RECRUITMENT CANADA IMMIGRATION CANADA,"Dubai, Australia, Canada, Hong Kong, New Zealand",12 - 17 Years,12,17,14.5,5,5,True,medio,1,5,1,0
"""Lead Python Developer""",Sparks To Ideas,Ahmedabad,0 - 2 Years,0,2,1.0,2,1,False,senior,0,1,0,1
Software Developer  ( .net Developer ),Ambetronics Engineers Pvt. Ltd.,Mumbai,1 - 3 Years,1,3,2.0,2,1,False,medio,0,1,1,0
"IT Auditor , IT Audit",Next Step Associates,Mumbai,5 - 9 Years,5,9,7.0,4,1,False,medio,0,1,1,0
IT Manager,HUE SERVICE PRIVATE LIMITED,"Kolkata, Guwahati, Patna, Ranchi, Bhubaneshwar",5 - 10 Years,5,10,7.5,5,5,False,senior,0,5,0,1
IT sales,Hiring Plus,"Mumbai, Navi Mumbai, Thane",1 - 2 Years,1,2,1.5,1,3,False,medio,0,3,1,0
IT Recruiter,SKYWALK VISA IMMIGRATION SERVICES LLP,Unknown,2 - 7 Years,2,7,4.5,5,1,False,medio,0,1,1,0
IT Manager,Sunil,"Mauritius, New Zealand, Thailand",2 - 7 Years,2,7,4.5,5,3,True,senior,1,3,0,1
IT Manager,Sunil,"Turkey, Bangladesh, Indonesia, Malaysia, Maldives",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Dubai, Fujairah, Ras Al Khaimah, Sharjah, Um Al Qaiwan",2 - 7 Years,2,7,4.5,5,5,True,senior,1,5,0,1
IT Manager,Sunil,"Eastern Province, Jeddah, Abu Dhabi, Al Ain, Ajman",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Kuwait City, Beirut, Muscat, Doha, Al Madina Al Munawarah",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Kolkata, Malda, Midnapur, Raniganj, Siliguri",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Asansol, Burdwan, Durgapur, Haldia, Kharagpur",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Haldwani, Haridwar, Nainital, Roorkee, Rudrapur",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Muzaffarnagar, Noida/Greater Noida, Saharanpur, Varanasi / Banaras, Dehradun",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Kanpur, Lucknow, Mathura, Meerut, Moradabad",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Allahabad, Bareilly, Faizabad, Ghaziabad, Gorakhpur",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Tuticorin, Vellore, Agartala, Agra, Aligarh",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Ooty, Salem, Thanjavur, Tirunelveli, Trichy",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Erode, Hosur, Kanniyakumari, Madurai, Nagercoil",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Udaipur, Gangtok, Chennai, Coimbatore, Cuddalore",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Bikaner, Jaipur, Jaisalmer, Jodhpur, Kota",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Supervisor,Personnel Selexions - Executive Search,Unknown,2 - 7 Years,2,7,4.5,5,1,False,medio,0,1,1,0
IT Manager,Sunil,"Patiala, Ropar, Sangrur, Ajmer, Alwar",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Moga, Mohali, Muktsar, Nawanshahr, Pathankot",2 - 7 Years,2,7,4.5,5,5,True,senior,1,5,0,1
IT Manager,Sunil,"Bathinda, Faridkot, Fatehgarh Sahib, Ferozepur, Gurdaspur",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Paradeep, Puri, Rourkela, Amritsar, Batala",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Hoshiarpur, Jalandhar, Kapurthala, Ludhiana, Mansa",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Aizawal, Dimapur, Kohima, Bhubaneshwar, Cuttack",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Vasai, Virar, Yavatmal, Imphal, Shillong",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Aurangabad, Bhiwandi, Bhusawal, Buldhana, Chandrapur",2 - 7 Years,2,7,4.5,5,5,True,senior,1,5,0,1
IT Manager,Sunil,"Pune, Sangli, Satara, Solapur, Thane",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Mumbai, Nagpur, Nanded, Nasik, Navi Mumbai",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Kalyan, Kolhapur, Latur, Lonavala, Mahabaleshwar",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Dhule, Dombivali, Gondia, Hinganghat, Jalgaon",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Indore, Jabalpur, Katni, Ratlam, Sagar",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Palakkad, Thiruvananthapuram, Thrissur, Bhopal, Gwalior",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Jammu, Kargil, Kathua, Kupwara, Leh",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Kaithal, Karnal, Kurukshetra, Mahendergarh, Narnaul",2 - 7 Years,2,7,4.5,5,5,True,senior,1,5,0,1
IT Manager,Sunil,"Gulbarga, Hubli, Kolar, Mangalore, Mysoru / Mysore",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Bellary, Bengaluru / Bangalore, Bidar, Davanagere, Dharwad",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Calicut/ Kozhikode, Cochin/ Kochi/ Ernakulam, Kannur, Kollam, Kottayam",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Bokaro, Dhanbad, Jamshedpur, Ranchi, Belgaum",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Panchkula, Panipat, Rewari, Rohtak, Sirsa",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Poonch, Pulwama, Rajouri, Srinagar, Udhampur",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Dalhousie, Dharamshala, Hamirpur, Kangra, Kasauli",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Una, Anantnag, Baramulla, Budgam, Doda",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Nalagarh, Parwanoo, Shimla, Sirmaur, Solan",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Kinnaur, Kullu, Lahaul & Spiti, Manali, Mandi",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Fatehabad, Gurgaon, Hissar, Jhajjar, Jind",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Sonepat, Yamunanagar, Baddi, Bilaspur, Chamba",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Wankaner, Ambala, Bhiwani, Chandigarh, Faridabad",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Surat, Surendranagar, Vadodara, Valsad -Vapi, Veraval",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Navsari, Palanpur, Patan, Porbandar, Rajkot",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Kalol, Kandla, Mehsana, Morbi, Nadiad",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Satna, Ujjain, Ahmednagar, Akola, Amravati",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Godhra, Gondal, Jamnagar, Jetpur, Junagarh",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Muzaffarpur, Patna, Bhilai-Durg, Bilaspur, Raipur",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Dahod, Deesa, Gandhidham, Gandhinagar, Gir",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Ankleshwar, Bharuch, Bhavnagar, Bhuj, Botad",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Panjim/Panaji, Vasco Da Gama, Ahmedabad, Amreli, Anand",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Nizamabad, Ongole, Rajahmundry, Sangareddy, Srikakulam",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Bongaigaon, Dhubri, Dibrugarh, Guwahati, Jorhat",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Tirupati, Vijayawada, Visakhapatnam, Warangal, Itanagar",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Adilabad, Anantapur, Chittoor, Cuddapah, Guntakal",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Kurnool, Mahabubnagar, Medak, Nalgonda, Nellore",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Manager,Sunil,"Guntur, Hyderabad/Secunderabad, Kakinada, Karimnagar, Khammam",2 - 7 Years,2,7,4.5,5,5,False,senior,0,5,0,1
IT Executive,Electrobrain modern technologies pvt ltd,"Delhi, Delhi/NCR, Gurgaon, Noida/Greater Noida, Pune",3 - 8 Years,3,8,5.5,5,5,False,medio,0,5,1,0
IT Manager,Sunil,"Sibsagar, Silchar, Tezpur, Tinsukia, Bhagalpur",2 - 7 Years,2,7,4.5,5,5,True,senior,1,5,0,1
IT Engineer,Anshi Immigration Private Limited,Canada,4 - 9 Years,4,9,6.5,5,1,True,medio,1,1,1,0
Director Sales IT,One World,Bengaluru / Bangalore,8 - 13 Years,8,13,10.5,5,1,False,senior,0,1,0,1
Business Development Manager - IT System Integrator,Suhail Nizamuddin shaikh,"Hyderabad/Secunderabad, Kolkata, Mumbai, Noida/Greater Noida, Pune",5 - 10 Years,5,10,7.5,5,5,False,senior,0,5,0,1
Senior US IT Recuiter - J48498,SAMPOORNA CONSULTANTS PVT LTD,Hyderabad/Secunderabad,5 - 10 Years,5,10,7.5,5,1,False,senior,0,1,0,1
IT Recruiter Job In AUSTRALIA,ADAL IMMIGRATIONS LLP,Australia,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Technical Recruiter - J48371,SAMPOORNA CONSULTANTS PVT LTD,Chennai,8 - 12 Years,8,12,10.0,4,1,False,medio,0,1,1,0
IT Recruiter Job  In GERMANY,ADAL IMMIGRATIONS LLP,Germany,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
IT Project Manager,Advance Consultancy Services,Other City(s) in Saudi Arabia,2 - 7 Years,2,7,4.5,5,1,True,senior,1,1,0,1
IT Recruiter Job  In USA,ADAL IMMIGRATIONS LLP,Unknown,8 - 13 Years,8,13,10.5,5,1,False,medio,0,1,1,0
IT Recruiter Job In MALTA,ADAL IMMIGRATIONS LLP,Unknown,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
IT - Sales Execuitve,Whitekraaft Solutions LLP,"Bengaluru / Bangalore, Hyderabad/Secunderabad, Pune",5 - 9 Years,5,9,7.0,4,3,False,medio,0,3,1,0
IT Recruiter Job In  USA,ADAL IMMIGRATIONS LLP,Unknown,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
IT Recruiter Required In UAE,ADAL IMMIGRATIONS LLP,Unknown,7 - 12 Years,7,12,9.5,5,1,False,medio,0,1,1,0
IT architecture immigrate to Canada,World Overseas immigration Consultancy Pvt Ltd,"Australia, Canada",2 - 7 Years,2,7,4.5,5,2,True,senior,1,2,0,1
IT Delivery Managers,KALINDI IMMIGRATION CONSULTANTS PRIVATE LIMITED,"Australia, Canada, Singapore, UK",1 - 6 Years,1,6,3.5,5,4,True,senior,1,4,0,1
IT-PMO - J48513,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,2 - 4 Years,2,4,3.0,2,1,False,medio,0,1,1,0
IT Support Engineer,Victory Educational Consultants,"Los Angeles, Chicago, Washington DC, Detroit, Newark",6 - 11 Years,6,11,8.5,5,5,False,medio,0,5,1,0
IT Software Engineer,SKYWALK VISA IMMIGRATION SERVICES LLP,"Australia, Canada, New Zealand, Singapore",1 - 6 Years,1,6,3.5,5,4,True,medio,1,4,1,0
IT Engineer Job In USA,CLOUD VISA IMMIGRATION LLP,Canada,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
IT Project Managers,Navyah Immigration Services Private Limited,"Australia, Canada",2 - 5 Years,2,5,3.5,3,2,True,senior,1,2,0,1
IT Project Manager,Professional HR Solutions,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi/NCR, Kolkata",5 - 10 Years,5,10,7.5,5,5,False,senior,0,5,0,1
Urgent Hiring For IT Analyst,Rahul jatav,"Calicut/ Kozhikode, Cochin/ Kochi/ Ernakulam, Kottayam, Thiruvananthapuram, Thrissur",0 - 3 Years,0,3,1.5,3,5,False,medio,0,5,1,0
IT Support Engineer,Viraj Infotech,Mumbai,1 - 2 Years,1,2,1.5,1,1,False,medio,0,1,1,0
Urgent Hiring For IT Analyst,Rahul jatav,"Bengaluru / Bangalore, Dharwad, Gulbarga, Hubli, Mangalore",0 - 3 Years,0,3,1.5,3,5,False,medio,0,5,1,0
IT project Internship,Sparks To Ideas,Ahmedabad,0 - 1 Years,0,1,0.5,1,1,False,junior,0,1,0,0
Urgent Hiring For IT Analyst,Rahul jatav,"Mumbai, Pune, Aurangabad, Nagpur, Solapur",0 - 3 Years,0,3,1.5,3,5,False,medio,0,5,1,0
IT Recruiter Job  In NEW ZEALAND,ADAL IMMIGRATIONS LLP,New Zealand,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
"""Area Sales Executive  /  Manager""",HUE SERVICE PRIVATE LIMITED,"Kolkata, Guwahati, Patna, Raipur, Ranchi",4 - 9 Years,4,9,6.5,5,5,False,senior,0,5,0,1
IT  Software Engineer Job In MALTA,PRIMEX IMMIGRATION LLP,Unknown,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
IT Sales Manager – Government Tender,HUE SERVICE PRIVATE LIMITED,"Kolkata, Patna, Other City(s) in Jharkhand, Bhubaneshwar",5 - 10 Years,5,10,7.5,5,4,False,senior,0,4,0,1
IT  Software Engineer Job In CANADA,PRIMEX IMMIGRATION LLP,Canada,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
IT  Software Engineer Job In GERMANY,PRIMEX IMMIGRATION LLP,Germany,5 - 10 Years,5,10,7.5,5,1,True,medio,1,1,1,0
Senior Technical Support Expert  /  International Customer Support,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,1 - 6 Years,1,6,3.5,5,1,False,senior,0,1,0,1
Senior Director - Talent Acquisition,One World,"Gurgaon, Hyderabad/Secunderabad, Pune",20 - 25 Years,20,25,22.5,5,3,False,senior,0,3,0,1
IT  Software Engineer Job In DUBAI,PRIMEX IMMIGRATION LLP,Dubai,3 - 8 Years,3,8,5.5,5,1,True,medio,1,1,1,0
Fresher - Technical Support  /  Voice  /  Bpo  /  2022 Passed out,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,0 - 3 Years,0,3,1.5,3,1,False,junior,0,1,0,0
IT Recruiters For IT Companies in White Horse Manpower BLR,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,1 - 5 Years,1,5,3.0,4,1,False,medio,0,1,1,0
"""Urgent Job opening Software Engineer In Canada""",Anshi Immigration Private Limited,Canada,4 - 9 Years,4,9,6.5,5,1,True,medio,1,1,1,0
HR Recruiter,TALENTPULL AND INFRASTRUCTURE PRIVATE LIMITED,Mohali,1 - 4 Years,1,4,2.5,3,1,False,medio,0,1,1,0
IT  Software Engineer Required In  NEW ZEALAND,PRIMEX IMMIGRATION LLP,New Zealand,4 - 8 Years,4,8,6.0,4,1,True,medio,1,1,1,0
SAP   Fresher walk  @ Valen IT,Valen IT Solutions,"Hyderabad/Secunderabad, Vijayawada, Visakhapatnam",0 - 3 Years,0,3,1.5,3,3,False,junior,0,3,0,0
MBA Fresher walk in  @ Valen IT,Valen IT Solutions,"Hyderabad/Secunderabad, Vijayawada, Visakhapatnam",0 - 3 Years,0,3,1.5,3,3,False,junior,0,3,0,0
Remote Jobs In IT For Golang DevOps GCP Engineer,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,4 - 9 Years,4,9,6.5,5,1,False,medio,0,1,1,0
IT Manager Jobs in Canada  /  Australia  /  New Zealand,Srv global consultancy Pvt Ltd,"Australia, Canada, New Zealand",3 - 8 Years,3,8,5.5,5,3,True,senior,1,3,0,1
US ITRecruiter,Maven Workforce Pvt. Ltd.,Noida/Greater Noida,5 - 10 Years,5,10,7.5,5,1,False,medio,0,1,1,0
SAP Consultant,Times Business Solution,"Mumbai, Navi Mumbai, Thane",3 - 8 Years,3,8,5.5,5,3,False,medio,0,3,1,0
"""HR Recruitment Executive""",Pragmatic Solution,Delhi,0 - 2 Years,0,2,1.0,2,1,False,medio,0,1,1,0
Software Engineer Jobs in Germany,TALENT VAULT LLP,"Australia, Canada, New Zealand, Singapore",3 - 8 Years,3,8,5.5,5,4,True,medio,1,4,1,0
AWS with DataBricks exp in Spark / Pyspark Bangalore IT company,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,4 - 9 Years,4,9,6.5,5,1,False,medio,0,1,1,0
"IT Jobs in CCNA Networking ,  Facets ,  JavaJava Full stack ,  Node JS",White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad",3 - 8 Years,3,8,5.5,5,3,False,medio,0,3,1,0
