Job Title,Company Name,Location,Experience (Years),Min Experience,Max Experience,Experiencia Media,Rango Experiencia,Num Ubicaciones,Oferta Exterior
IT Manager,Sunil,"Sonepat, Yamunanagar, Baddi, Bilaspur, Chamba",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Wankaner, Ambala, Bhiwani, Chandigarh, Faridabad",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Surat, Surendranagar, Vadodara, Valsad -Vapi, Veraval",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Navsari, Palanpur, Patan, Porbandar, Rajkot",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Kalol, Kandla, Mehsana, Morbi, Nadiad",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Satna, Ujjain, Ahmednagar, Akola, Amravati",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Godhra, Gondal, Jamnagar, Jetpur, Junagarh",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Muzaffarpur, Patna, Bhilai-Durg, Bilaspur, Raipur",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Dahod, Deesa, Gandhidham, Gandhinagar, Gir",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Ankleshwar, Bharuch, Bhavnagar, Bhuj, Botad",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Panjim/Panaji, Vasco Da Gama, Ahmedabad, Amreli, Anand",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Nizamabad, Ongole, Rajahmundry, Sangareddy, Srikakulam",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Bongaigaon, Dhubri, Dibrugarh, Guwahati, Jorhat",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Tirupati, Vijayawada, Visakhapatnam, Warangal, Itanagar",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Adilabad, Anantapur, Chittoor, Cuddapah, Guntakal",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Kurnool, Mahabubnagar, Medak, Nalgonda, Nellore",2 - 7 Years,2,7,4.5,5,5,False
IT Manager,Sunil,"Guntur, Hyderabad/Secunderabad, Kakinada, Karimnagar, Khammam",2 - 7 Years,2,7,4.5,5,5,False
IT Executive,Electrobrain modern technologies pvt ltd,"Delhi, Delhi/NCR, Gurgaon, Noida/Greater Noida, Pune",3 - 8 Years,3,8,5.5,5,5,False
IT Manager,Sunil,"Sibsagar, Silchar, Tezpur, Tinsukia, Bhagalpur",2 - 7 Years,2,7,4.5,5,5,True
IT Engineer,Anshi Immigration Private Limited,Canada,4 - 9 Years,4,9,6.5,5,1,True
Director Sales IT,One World,Bengaluru / Bangalore,8 - 13 Years,8,13,10.5,5,1,False
Business Development Manager - IT System Integrator,Suhail Nizamuddin shaikh,"Hyderabad/Secunderabad, Kolkata, Mumbai, Noida/Greater Noida, Pune",5 - 10 Years,5,10,7.5,5,5,False
Senior US IT Recuiter - J48498,SAMPOORNA CONSULTANTS PVT LTD,Hyderabad/Secunderabad,5 - 10 Years,5,10,7.5,5,1,False
IT Recruiter Job In AUSTRALIA,ADAL IMMIGRATIONS LLP,Australia,3 - 8 Years,3,8,5.5,5,1,True
Technical Recruiter - J48371,SAMPOORNA CONSULTANTS PVT LTD,Chennai,8 - 12 Years,8,12,10.0,4,1,False
IT Recruiter Job  In GERMANY,ADAL IMMIGRATIONS LLP,Germany,5 - 10 Years,5,10,7.5,5,1,True
IT Project Manager,Advance Consultancy Services,Other City(s) in Saudi Arabia,2 - 7 Years,2,7,4.5,5,1,True
IT Recruiter Job  In USA,ADAL IMMIGRATIONS LLP,Unknown,8 - 13 Years,8,13,10.5,5,1,False
IT Recruiter Job In MALTA,ADAL IMMIGRATIONS LLP,Unknown,3 - 8 Years,3,8,5.5,5,1,True
IT - Sales Execuitve,Whitekraaft Solutions LLP,"Bengaluru / Bangalore, Hyderabad/Secunderabad, Pune",5 - 9 Years,5,9,7.0,4,3,False
IT Recruiter Job In  USA,ADAL IMMIGRATIONS LLP,Unknown,5 - 10 Years,5,10,7.5,5,1,True
IT Recruiter Required In UAE,ADAL IMMIGRATIONS LLP,Unknown,7 - 12 Years,7,12,9.5,5,1,False
IT architecture immigrate to Canada,World Overseas immigration Consultancy Pvt Ltd,"Australia, Canada",2 - 7 Years,2,7,4.5,5,2,True
IT Delivery Managers,KALINDI IMMIGRATION CONSULTANTS PRIVATE LIMITED,"Australia, Canada, Singapore, UK",1 - 6 Years,1,6,3.5,5,4,True
IT-PMO - J48513,SAMPOORNA CONSULTANTS PVT LTD,Mumbai,2 - 4 Years,2,4,3.0,2,1,False
IT Support Engineer,Victory Educational Consultants,"Los Angeles, Chicago, Washington DC, Detroit, Newark",6 - 11 Years,6,11,8.5,5,5,False
IT Software Engineer,SKYWALK VISA IMMIGRATION SERVICES LLP,"Australia, Canada, New Zealand, Singapore",1 - 6 Years,1,6,3.5,5,4,True
IT Engineer Job In USA,CLOUD VISA IMMIGRATION LLP,Canada,3 - 8 Years,3,8,5.5,5,1,True
IT Project Managers,Navyah Immigration Services Private Limited,"Australia, Canada",2 - 5 Years,2,5,3.5,3,2,True
IT Project Manager,Professional HR Solutions,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi/NCR, Kolkata",5 - 10 Years,5,10,7.5,5,5,False
Urgent Hiring For IT Analyst,Rahul jatav,"Calicut/ Kozhikode, Cochin/ Kochi/ Ernakulam, Kottayam, Thiruvananthapuram, Thrissur",0 - 3 Years,0,3,1.5,3,5,False
IT Support Engineer,Viraj Infotech,Mumbai,1 - 2 Years,1,2,1.5,1,1,False
Urgent Hiring For IT Analyst,Rahul jatav,"Bengaluru / Bangalore, Dharwad, Gulbarga, Hubli, Mangalore",0 - 3 Years,0,3,1.5,3,5,False
IT project Internship,Sparks To Ideas,Ahmedabad,0 - 1 Years,0,1,0.5,1,1,False
Urgent Hiring For IT Analyst,Rahul jatav,"Mumbai, Pune, Aurangabad, Nagpur, Solapur",0 - 3 Years,0,3,1.5,3,5,False
IT Recruiter Job  In NEW ZEALAND,ADAL IMMIGRATIONS LLP,New Zealand,3 - 8 Years,3,8,5.5,5,1,True
"""Area Sales Executive  /  Manager""",HUE SERVICE PRIVATE LIMITED,"Kolkata, Guwahati, Patna, Raipur, Ranchi",4 - 9 Years,4,9,6.5,5,5,False
IT  Software Engineer Job In MALTA,PRIMEX IMMIGRATION LLP,Unknown,4 - 8 Years,4,8,6.0,4,1,True
IT Sales Manager – Government Tender,HUE SERVICE PRIVATE LIMITED,"Kolkata, Patna, Other City(s) in Jharkhand, Bhubaneshwar",5 - 10 Years,5,10,7.5,5,4,False
IT  Software Engineer Job In CANADA,PRIMEX IMMIGRATION LLP,Canada,3 - 8 Years,3,8,5.5,5,1,True
IT  Software Engineer Job In GERMANY,PRIMEX IMMIGRATION LLP,Germany,5 - 10 Years,5,10,7.5,5,1,True
Senior Technical Support Expert  /  International Customer Support,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,1 - 6 Years,1,6,3.5,5,1,False
Senior Director - Talent Acquisition,One World,"Gurgaon, Hyderabad/Secunderabad, Pune",20 - 25 Years,20,25,22.5,5,3,False
IT  Software Engineer Job In DUBAI,PRIMEX IMMIGRATION LLP,Dubai,3 - 8 Years,3,8,5.5,5,1,True
Fresher - Technical Support  /  Voice  /  Bpo  /  2022 Passed out,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,0 - 3 Years,0,3,1.5,3,1,False
IT Recruiters For IT Companies in White Horse Manpower BLR,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,1 - 5 Years,1,5,3.0,4,1,False
"""Urgent Job opening Software Engineer In Canada""",Anshi Immigration Private Limited,Canada,4 - 9 Years,4,9,6.5,5,1,True
HR Recruiter,TALENTPULL AND INFRASTRUCTURE PRIVATE LIMITED,Mohali,1 - 4 Years,1,4,2.5,3,1,False
IT  Software Engineer Required In  NEW ZEALAND,PRIMEX IMMIGRATION LLP,New Zealand,4 - 8 Years,4,8,6.0,4,1,True
SAP   Fresher walk  @ Valen IT,Valen IT Solutions,"Hyderabad/Secunderabad, Vijayawada, Visakhapatnam",0 - 3 Years,0,3,1.5,3,3,False
MBA Fresher walk in  @ Valen IT,Valen IT Solutions,"Hyderabad/Secunderabad, Vijayawada, Visakhapatnam",0 - 3 Years,0,3,1.5,3,3,False
Remote Jobs In IT For Golang DevOps GCP Engineer,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,4 - 9 Years,4,9,6.5,5,1,False
IT Manager Jobs in Canada  /  Australia  /  New Zealand,Srv global consultancy Pvt Ltd,"Australia, Canada, New Zealand",3 - 8 Years,3,8,5.5,5,3,True
US ITRecruiter,Maven Workforce Pvt. Ltd.,Noida/Greater Noida,5 - 10 Years,5,10,7.5,5,1,False
SAP Consultant,Times Business Solution,"Mumbai, Navi Mumbai, Thane",3 - 8 Years,3,8,5.5,5,3,False
"""HR Recruitment Executive""",Pragmatic Solution,Delhi,0 - 2 Years,0,2,1.0,2,1,False
Software Engineer Jobs in Germany,TALENT VAULT LLP,"Australia, Canada, New Zealand, Singapore",3 - 8 Years,3,8,5.5,5,4,True
AWS with DataBricks exp in Spark / Pyspark Bangalore IT company,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,4 - 9 Years,4,9,6.5,5,1,False
"IT Jobs in CCNA Networking ,  Facets ,  JavaJava Full stack ,  Node JS",White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad",3 - 8 Years,3,8,5.5,5,3,False
Business Development Manager,Suhail Nizamuddin shaikh,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Delhi/NCR",5 - 10 Years,5,10,7.5,5,5,False
"IT HELP Desk Pune ,  Bangalore HYD Kolkata 6.2lks",White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Hyderabad/Secunderabad, Kolkata",1 - 3 Years,1,3,2.0,2,3,False
Fresh Graduates for Technical Support  Voice  IT Help desk  CCNA,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,1 - 5 Years,1,5,3.0,4,1,False
"IT Recruiter  , HR Exicutive , HR manager",New Global Technologies,"Ahmedabad, Chennai, Gurgaon, Kolkata, Noida/Greater Noida",0 - 3 Years,0,3,1.5,3,5,False
Business development executive,Career Job Solution,"Delhi, Noida/Greater Noida, Ghaziabad",3 - 8 Years,3,8,5.5,5,3,False
Digital marketing sales,Career Job Solution,"Delhi, Noida/Greater Noida, Ghaziabad",3 - 8 Years,3,8,5.5,5,3,False
Business Development Management,Career Job Solution,"Delhi, Noida/Greater Noida, Ghaziabad",3 - 8 Years,3,8,5.5,5,3,False
Freelance Recruiters for BPO Hiring WFH,sharda consultancy Services,"Delhi/NCR, Gurgaon, Noida/Greater Noida",1 - 5 Years,1,5,3.0,4,3,False
Sales Development Representative,DANUSH SYSTEMS AND SOLUTIONS,Bengaluru / Bangalore,2 - 4 Years,2,4,3.0,2,1,False
Recruiter  Job In USA,World wide Immigration Service Llp,Unknown,5 - 10 Years,5,10,7.5,5,1,True
Business Development Officers,Navyah Immigration Services Private Limited,"Dubai, Australia, Canada, Singapore",2 - 5 Years,2,5,3.5,3,4,True
"HR Manager , Hr Executive",AppSoft Solutions,"Bengaluru / Bangalore, Chennai, Delhi, Mumbai, Pune",0 - 3 Years,0,3,1.5,3,5,False
"Jobs In IT Sector Oracle Apps EBS-SCM Python ,  React Sapabap / HANA",White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Chennai, Hyderabad/Secunderabad",3 - 8 Years,3,8,5.5,5,3,False
IT Procurement,HR Jobs Placements,"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Gurgaon",5 - 10 Years,5,10,7.5,5,5,False
"Accounts Manager , Account Manager , Senior Account Manager",MDD Medical Systems India Pvt Ltd,"Gurgaon, Faridabad",6 - 11 Years,6,11,8.5,5,2,False
"IT Jobs in Service  SAP TM PM PP ,  Oracle Apps ,  Pune  Hyderabad",White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Hyderabad/Secunderabad, Pune",3 - 8 Years,3,8,5.5,5,3,False
Data Administrator,Rahul jatav,"Calicut/ Kozhikode, Cochin/ Kochi/ Ernakulam, Palakkad, Thiruvananthapuram, Thrissur",0 - 3 Years,0,3,1.5,3,5,False
Google Technical Support Executive troubleshooting Voice  Jobs,White Horse Manpower Consultancy P Ltd,"Bengaluru / Bangalore, Hyderabad/Secunderabad, Pune",1 - 6 Years,1,6,3.5,5,3,False
ServiceDesk Voice Support  Active Directory Exp  ticketingtools,White Horse Manpower Consultancy P Ltd,Bengaluru / Bangalore,1 - 5 Years,1,5,3.0,4,1,False
Technical Recruiter | Ludhiana,LifeInsuranceJobs . in,Ludhiana,0 - 3 Years,0,3,1.5,3,1,False
HR Exectuvie,Whitekraaft Solutions LLP,Hyderabad/Secunderabad,0 - 1 Years,0,1,0.5,1,1,False
Recruitment Officer | Ludhiana,LifeInsuranceJobs . in,Ludhiana,0 - 3 Years,0,3,1.5,3,1,False
Director Student placements,SNJ Skye Management Consultant,Kanpur,10 - 15 Years,10,15,12.5,5,1,False
HR Executive- Talent Acquisition | Ludhiana,LifeInsuranceJobs . in,Ludhiana,0 - 3 Years,0,3,1.5,3,1,False
Manager Corporate Relation Placements Engineering College,SNJ Skye Management Consultant,Kanpur,2 - 7 Years,2,7,4.5,5,1,False
